id,track_id,dwell_seconds,age_estimated,age_range,gender,gender_confidence,emotion_estimated,created_at,validated,session_id,camera_id,roi_name,image_name
008b3d4f-5ffb-428c-a3be-0f80acfeab16,22,6.18,32,adulte,Femme,0.7244,triste,2026-04-14 08:53:18.631094+00,true,session_20260414_085239,camera_01,central_zone,face_22_20260414_085318_630094.jpg
05f2c580-d2ce-470b-92e3-ee25118036aa,65,5.43,32,adulte,Homme,0.8197,peur,2026-04-14 09:00:12.890039+00,true,session_20260414_085723,camera_01,central_zone,face_65_20260414_090012_888040.jpg
0b294444-eef5-4f71-b849-da3a443183cc,74,5.85,34,adulte,Femme,0.9987,neutre,2026-04-13 22:17:31.580652+00,true,session_20260413_221415,camera_01,central_zone,face_74_20260413_221731_578644.jpg
0c14bcfa-87fb-4605-bb5f-23c19eb46a3f,32,5.96,25,jeune,Femme,0.8341,peur,2026-04-14 08:59:09.600757+00,true,session_20260414_085723,camera_01,central_zone,face_32_20260414_085909_599757.jpg
0e03dc5c-ac12-484a-8f7c-b81691b33737,22,5.97,26,jeune,Homme,0.8782,triste,2026-04-14 08:53:43.407263+00,true,session_20260414_085239,camera_01,central_zone,face_22_20260414_085343_404260.jpg
15753c22-1dd9-44ad-8f4a-5113a4c15e55,1,5.78,29,jeune,Homme,0.9448,heureux,2026-04-14 08:58:11.303168+00,true,session_20260414_085723,camera_01,central_zone,face_1_20260414_085811_301167.jpg
16fd9037-3473-43ca-8806-d5465c156c81,17,6.34,34,adulte,Homme,1,triste,2026-04-13 22:50:14.894873+00,true,session_20260413_224928,camera_01,central_zone,face_17_20260413_225014_893873.jpg
18834048-30e6-43c7-97c5-cf3e66d95c11,65,5.78,32,adulte,Homme,0.9158,triste,2026-04-13 22:52:18.894421+00,true,session_20260413_224928,camera_01,central_zone,face_65_20260413_225218_893422.jpg
18c87ceb-5830-4a5d-b2d4-c35427301e6e,1,11.73,31,adulte,Homme,0.8792,triste,2026-04-14 08:57:37.270532+00,true,session_20260414_085723,camera_01,central_zone,face_1_20260414_085737_268529.jpg
1d38b99f-342f-4b72-8590-8021b02d7e52,59,7.1,37,adulte,Femme,0.7175,triste,2026-04-13 22:51:52.094715+00,true,session_20260413_224928,camera_01,central_zone,face_59_20260413_225152_092715.jpg
1e0b134d-ccb5-432e-8705-de8f1e9008a1,81,5.92,35,adulte,Homme,0.8759,neutre,2026-04-13 22:18:05.15121+00,true,session_20260413_221415,camera_01,central_zone,face_81_20260413_221805_150210.jpg
1f0597b4-d5b1-4556-ab5c-5cf0da6ca950,1,5.78,30,jeune,Homme,0.7872,triste,2026-04-14 08:57:45.73751+00,true,session_20260414_085723,camera_01,central_zone,face_1_20260414_085745_736509.jpg
21be55e0-3d2e-4990-8037-98c948714fa1,77,6.52,40,adulte,Homme,0.6146,triste,2026-04-13 22:52:53.724269+00,true,session_20260413_224928,camera_01,central_zone,face_77_20260413_225253_722266.jpg
22418a99-37c3-4117-a851-76d830b4ef23,84,5.89,33,adulte,Femme,0.9987,heureux,2026-04-13 22:18:16.959566+00,true,session_20260413_221415,camera_01,central_zone,face_84_20260413_221816_958565.jpg
24ecf8fa-51b1-445b-8705-64df8110e151,65,5.78,32,adulte,Homme,0.747,peur,2026-04-14 08:59:39.242906+00,true,session_20260414_085723,camera_01,central_zone,face_65_20260414_085939_241906.jpg
283115b2-eba7-4461-91ca-5f97a75fa0fe,12,5.79,39,adulte,Homme,0.9985,triste,2026-04-13 22:49:48.508237+00,true,session_20260413_224928,camera_01,central_zone,face_12_20260413_224948_507238.jpg
